bagID_stemburo,50PLUS,Aan. & Een.,Actief,Ad Bos Collectief,Al.V&D,Amersfoort 2014,Amersfoort Anders,Anti Euro Partij,Anti Europa Partij,Artikel 1,Artikel 50,Belangen Gemeenschap,Blanco lijst Chel,Burger Partij Amersfoort,Christen Democratisch Appél,ChristenUnie,ChristenUnie-Staatkundig Gereformeerde Partij,Continue Directe Democratie Partij,DENK,De Burger Beweging,De Conservatieven.nl,De Groenen,Democraten 66,Democratisch Europa,Democratisch Politiek Keerpunt,Eerlijk.EU,Europa Transparant,Europa Voordelig! & Duurzaam,Europese Klokkenluiders Partij,EénNL,Forum voor Democratie,GeenPeil,GroenLinks,Hart voor Amersfoort,Heel NL,IQ-Partij,Islam Democraten,Jezus Leeft,Jouw Amersfoort,Leefbaar Amersfoort,Leefbaar Europa,Leefbaar Nederland,Leefbaar Provincie Utrecht,Liberaal Democratische Partij,Liberale Partij,Libertarische Partij,Libertas,Lijst 14,Lijst Lashkari,Lijst Pim Fortuyn,Lijst Ratelband,Lijst Özcan,MenS en Spirit / Basisinkomen Partij / V-R,Mooi Utrecht,Nederland Duurzaam,Nederland Lokaal,Nederland Transparant,Nederlandse Middenstands Partij,Newropeans,Niet Stemmers,Nieuw Nederland,Nieuw Rechts,Nieuwe Communistische Partij-NCPN,Nieuwe Wegen,OPA,Ondernemers Partij,Partij van de Arbeid,Partij van de Toekomst,Partij van het Noorden,Partij voor Europese Politiek,Partij voor Mens en Spirit,Partij voor Nederland,Partij voor de Dieren,Partij voor de Vrijheid,Partij één,Piratenpartij,Prov@i-b,Respect.Nu,Socialistische Partij,Soeverein Onafhankelijke Pioniers Nederland,Solidara,Staatkundig Gereformeerde Partij,StemNL,Trots op Nederland,Verenigde Senioren Partij,Vereniging LEF,Volkspartij voor Vrijheid en Democratie,VoorNederland,Vooruitstrevende Integratie Partij-Ouderen Unie,Vrede en Recht,Vrije Indische Partij-Ouderen Unie,Vrijzinnige Partij,dNU,cbs_gemeentecode,cbs_gemeente,verkiezing,cbs_wijkcode,stemburo,partij,aantal_stemmen
0307010000559985,17.75,0.0,,1.0,0.0,17.0,15.0,2.0,0.0,,2.0,27.0,,93.5,132.42857142857142,69.16666666666667,81.0,1.0,,,0.0,3.0,79.6923076923077,0.0,0.0,0.0,49.0,,,1.0,,,57.42857142857143,50.0,5.0,0.0,3.0,1.5,75.0,57.0,2.0,6.0,1.0,0.3333333333333333,0.0,0.0,,0.0,9.0,49.25,1.0,56.0,,12.0,0.5,1.0,0.0,0.0,,,2.0,1.0,3.3333333333333335,,25.0,,167.21428571428572,0.3333333333333333,1.0,,4.0,0.0,19.333333333333332,48.5,6.0,4.666666666666667,3.0,0.0,68.5,0.0,,28.666666666666668,,11.0,5.5,7.0,156.5,,0.0,,0.0,0.0,1.0,GM0307,Amersfoort,EP2004,WK030715,Burg. van Randwijckhuis,Christen Democratisch Appél,12073
wijk bosgebied,,,,,,,,,,,,,,,109.0,,30.0,,,,,0.0,40.0,,,,,2.0,3.0,,,,32.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,0.0,,,,,,,,46.0,,,0.0,,,14.0,49.0,,,,,21.0,,0.0,,,,,,49.0,,,,,,,GM0307,Amersfoort,EP2009,WK030705,Wijk Bosgebied,Christen Democratisch Appél,397
wijk buitengebied west,,,,,,,,,,,,,,,98.0,,11.0,,,,,0.0,9.0,,,,,0.0,1.0,,,,14.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,0.0,,,,,,,,5.0,,,0.0,,,5.0,32.0,,,,,2.0,,0.0,,,,,,32.0,,,,,,,GM0307,Amersfoort,EP2009,WK030727,Wijk Buitengebied West,Christen Democratisch Appél,212
wijk de berg noord,,,,,,,,,,,,,,,248.0,,126.0,,,,,5.0,539.0,,,,,1.0,2.0,,,,317.0,,,,,,,,,,,9.0,,,7.0,,,,,,,,,,,,22.0,,,,,,,,225.0,,,1.0,,,48.0,152.0,,,,,100.0,,2.0,,,,,,373.0,,,,,,,GM0307,Amersfoort,EP2009,WK030718,Wijk De Berg Noord,Christen Democratisch Appél,2177
wijk de berg zuid,,,,,,,,,,,,,,,253.0,,131.0,,,,,6.0,510.0,,,,,1.0,5.0,,,,434.0,,,,,,,,,,,5.0,,,8.0,,,,,,,,,,,,7.0,,,,,,,,282.0,,,0.0,,,88.0,194.0,,,,,145.0,,1.0,,,,,,242.0,,,,,,,GM0307,Amersfoort,EP2009,WK030717,Wijk De Berg Zuid,Christen Democratisch Appél,2312
wijk de koppel,,,,,,,,,,,,,,,44.0,,59.0,,,,,0.0,90.0,,,,,0.0,2.0,,,,59.0,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,9.0,,,,,,,,83.0,,,0.0,,,27.0,78.0,,,,,72.0,,2.0,,,,,,52.0,,,,,,,GM0307,Amersfoort,EP2009,WK030706,Wijk De Koppel,Christen Democratisch Appél,582
wijk de kruiskamp,,,,,,,,,,,,,,,149.0,,91.0,,,,,2.0,190.0,,,,,1.0,2.0,,,,172.0,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,9.0,,,,,,,,188.0,,,0.0,,,47.0,185.0,,,,,104.0,,5.0,,,,,,86.0,,,,,,,GM0307,Amersfoort,EP2009,WK030707,Wijk De Kruiskamp,Christen Democratisch Appél,1241
wijk hoogland,,,,,,,,,,,,,,,713.0,,287.0,,,,,6.0,449.0,,,,,3.0,21.0,,,,424.0,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,13.0,,,,,,,,408.0,,,2.0,,,80.0,495.0,,,,,230.0,,3.0,,,,,,432.0,,,,,,,GM0307,Amersfoort,EP2009,WK030719,Wijk Hoogland,Christen Democratisch Appél,3586
wijk hooglanderveen,,,,,,,,,,,,,,,235.0,,28.0,,,,,0.0,75.0,,,,,2.0,1.0,,,,33.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,51.0,,,0.0,,,18.0,107.0,,,,,38.0,,0.0,,,,,,77.0,,,,,,,GM0307,Amersfoort,EP2009,WK030726,Wijk Hooglanderveen,Christen Democratisch Appél,669
wijk kattenbroek,,,,,,,,,,,,,,,389.0,,265.0,,,,,5.0,694.0,,,,,4.0,11.0,,,,448.0,,,,,,,,,,,7.0,,,7.0,,,,,,,,,,,,15.0,,,,,,,,495.0,,,3.0,,,139.0,433.0,,,,,217.0,,7.0,,,,,,422.0,,,,,,,GM0307,Amersfoort,EP2009,WK030721,Wijk Kattenbroek,Christen Democratisch Appél,3561
wijk leusderkwartier,,,,,,,,,,,,,,,258.0,,200.0,,,,,3.0,344.0,,,,,1.0,6.0,,,,298.0,,,,,,,,,,,8.0,,,10.0,,,,,,,,,,,,4.0,,,,,,,,224.0,,,2.0,,,68.0,232.0,,,,,127.0,,1.0,,,,,,171.0,,,,,,,GM0307,Amersfoort,EP2009,WK030716,Wijk Leusderkwartier,Christen Democratisch Appél,1957
wijk liendert,,,,,,,,,,,,,,,253.0,,225.0,,,,,5.0,172.0,,,,,1.0,7.0,,,,147.0,,,,,,,,,,,4.0,,,10.0,,,,,,,,,,,,4.0,,,,,,,,242.0,,,3.0,,,59.0,303.0,,,,,134.0,,8.0,,,,,,118.0,,,,,,,GM0307,Amersfoort,EP2009,WK030710,Wijk Liendert,Christen Democratisch Appél,1695
wijk nieuwland,,,,,,,,,,,,,,,532.0,,401.0,,,,,4.0,605.0,,,,,1.0,18.0,,,,357.0,,,,,,,,,,,12.0,,,11.0,,,,,,,,,,,,18.0,,,,,,,,414.0,,,6.0,,,99.0,513.0,,,,,222.0,,12.0,,,,,,543.0,,,,,,,GM0307,Amersfoort,EP2009,WK030724,Wijk Nieuwland,Christen Democratisch Appél,3768
wijk randenbroek,,,,,,,,,,,,,,,310.0,,256.0,,,,,2.0,268.0,,,,,1.0,16.0,,,,337.0,,,,,,,,,,,10.0,,,5.0,,,,,,,,,,,,14.0,,,,,,,,366.0,,,0.0,,,99.0,304.0,,,,,153.0,,5.0,,,,,,167.0,,,,,,,GM0307,Amersfoort,EP2009,WK030714,Wijk Randenbroek,Christen Democratisch Appél,2313
wijk rustenburg,,,,,,,,,,,,,,,178.0,,140.0,,,,,2.0,90.0,,,,,0.0,2.0,,,,98.0,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,7.0,,,,,,,,131.0,,,2.0,,,34.0,209.0,,,,,64.0,,1.0,,,,,,74.0,,,,,,,GM0307,Amersfoort,EP2009,WK030711,Wijk Rustenburg,Christen Democratisch Appél,1038
wijk schothorst noord,,,,,,,,,,,,,,,268.0,,255.0,,,,,7.0,234.0,,,,,4.0,13.0,,,,303.0,,,,,,,,,,,3.0,,,7.0,,,,,,,,,,,,13.0,,,,,,,,300.0,,,0.0,,,95.0,343.0,,,,,198.0,,7.0,,,,,,180.0,,,,,,,GM0307,Amersfoort,EP2009,WK030709,Wijk Schothorst Noord,Christen Democratisch Appél,2230
wijk schothorst zuid,,,,,,,,,,,,,,,309.0,,231.0,,,,,3.0,150.0,,,,,2.0,5.0,,,,160.0,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,13.0,,,,,,,,231.0,,,0.0,,,39.0,208.0,,,,,134.0,,1.0,,,,,,134.0,,,,,,,GM0307,Amersfoort,EP2009,WK030708,Wijk Schothorst Zuid,Christen Democratisch Appél,1630
