X,Y,OBJECTID,NUMMER,LOCATIE,NAAM,OPMERKING,STRAATNAAM,HUISNUMMER,HUISLETTER,TOEVOEGING,POSTCODE,WOONPLAATS,OPENINGSTIJDEN,URL
4.76971194564286,51.5895256897635,4029,5,"Adriaan van Bergenstraat 428, Breda",Basisschool De Singel, ,Adriaan van Bergenstraat,428, , ,4811SZ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.75306280108708,51.5804291453032,4030,71,"Tuinzigtlaan 10, Breda",Prinsentuin van Cooth, ,Tuinzigtlaan,10, , ,4812XN,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.83145310058042,51.5666456565885,4031,205,"Pastoor Doensstraat 3, Bavel",Basisschool De Spindel, ,Pastoor Doensstraat,3, , ,4854CP,Bavel,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79509601910443,51.5516140768852,4032,202,"Slotlaan 15, Ulvenhout",Woon- zorgcentrum De Donk, ,Slotlaan,15, , ,4851EA,Ulvenhout,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.81764220344931,51.6112639898125,4033,101,"Adriaan van Bergenstraat 288, Breda",H. Willibrorduskerk, ,Adriaan van Bergenstraat,288, , ,4811SW,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.70623106507204,51.596540881648,4034,306,"Moleneind 1, Prinsenbeek",Scouting Thomas - More, ,Moleneind,1, , ,4841LP,Prinsenbeek,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79979651466056,51.568278148939,4035,48,"Mariaplein 2, Breda",Mariakerk, ,Mariaplein,2, , ,4834XG,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79426756679662,51.5901491603244,4036,28,"Mgr. Hopmansstraat 2, Breda",Breda University of Applied Sciences, ,Mgr. Hopmansstraat,2, , ,4817JS,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.83019683264977,51.5676318252953,4037,204,"Zuster Boomaarsstraat 4, Bavel",Basisschool De Toermalijn, ,Zuster Boomaarsstraat,4, , ,4854KE,Bavel,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74399414173133,51.6030512489261,4038,85,"Gageldonksepad 5, Breda",Buurthuis Gageldonk, ,Gageldonksepad,5, , ,4824PP,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73741679693126,51.5723675044485,4039,79,"Hovenierstraat 54, Breda",Basisschool De Eerste Rith, ,Hovenierstraat,54, , ,4813GM,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73386730662423,51.5796274197901,4040,76,"Luciastraat 93  A1, Breda",Gasterij d'n Heerlijckheid, ,Luciastraat,93, ,A1,4813CX,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74913882126948,51.5863881519857,4041,66,"Argusvlinder 298, Breda",Woon-Zorgcentrum Westwiek, ,Argusvlinder,298, , ,4814SW,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.82559563130031,51.6099791972013,4042,102,"Zuringveld 1, Teteringen",Dorpshuis 't Web, ,Zuringveld,1, , ,4847KS,Teteringen,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.76305970863335,51.5689771410465,4043,58,"Mendelssohnlaan 1, Breda",Mencia de Mendoza Lyceum, ,Mendelssohnlaan,1, , ,4837CV,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73838910722908,51.6047575445626,4044,86,"Wandelakker 60, Breda",Nutsbassischool De Hoogakker, ,Wandelakker,60, , ,4824SG,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.787672805629,51.5942843734093,4045,2,"St. Josephstraat 7, Breda",Basisschool St. Joseph, ,St. Josephstraat,7, , ,4811CL,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.80911118213297,51.5664425102999,4046,49,"Rijnauwenstraat 201, Breda",Het Kasteel, ,Rijnauwenstraat,201, , ,4834LD,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73929233695401,51.6176294232343,4047,91,"Groene Hil 20, Breda",Nutsbasisschool Burgst, ,Groene Hil,20, , ,4822RS,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
